"""ID""","""Name""","""Desc""","""Value1""","""Value2""","""Value3"""
20012,Weapon,weaponSkill,LineAuto,迷雾,迷霧
21001,Weapon,weaponSkill,BombNormal,同时消除4颗相同颜色时获得炸弹,同時消除4顆相同顏色時獲得炸彈
21002,Weapon,weaponSkill,LineNormal,同时消除4颗相同颜色时获得飞弹,同時消除4顆相同顏色時獲得飛彈
21003,Weapon,weaponSkill,BombEnlarge,炸弹增加爆炸范围,炸彈增加爆炸範圍
21004,Weapon,weaponSkill,LineEnlarge,飞弹增加爆炸范围,飛彈增加爆炸範圍
21005,Weapon,weaponSkill,BombHitTrap,炸弹额外攻击一次陷阱,炸彈額外攻擊一次陷阱
21006,Weapon,weaponSkill,LineHitTrap,飞弹可穿透陷阱,飛彈可穿透陷阱
21007,Weapon,weaponSkill,BombReact,炸弹以一定概率再次爆炸,炸彈以一定概率再次爆炸
21008,Weapon,weaponSkill,LineReact,飞弹触发后再次小范围爆炸,飛彈觸發後再次小範圍爆炸
21009,Weapon,weaponSkill,BombLighting,炸弹变为闪电,炸彈變為閃電
21010,Weapon,weaponSkill,LineLighting,飞弹撞击后爆炸,飛彈撞擊後爆炸
21011,Weapon,weaponSkill,BombAuto,炸弹自动触发,炸彈自動觸發
21012,Weapon,weaponSkill,LineAuto,飞弹变为无属性,飛彈變為無屬性
100001,commonitem,money,Gold,金币,金幣
100002,commonitem,money,Diamond,钻石,鑽石
100003,commonitem,money,GemFrag,碎片,碎片
120001,commonitem,gembox,Random Gem Lv.1,随机宝石1,隨機寶石1
120002,commonitem,gembox,Random Gem Lv.2,随机宝石2,隨機寶石2
120003,commonitem,gembox,Random Gem Lv.3,随机宝石3,隨機寶石3
120004,commonitem,gembox,Random Gem Lv.4,随机宝石4,隨機寶石4
210001,gem,gemattr,FireDefence,受到火伤害减半,受到火傷害減半
210002,gem,gemattr,IceDefence,受到冰伤害减半,受到冰傷害減半
210003,gem,gemattr,WindDefence,受到风伤害减半,受到風傷害減半
210004,gem,gemattr,LightDefence,受到光伤害减半,受到光傷害減半
210005,gem,gemattr,DarkDefence,受到暗伤害减半,受到暗傷害減半
210006,gem,gemattr,FireEnhance,火伤害不会被克制,火傷害不會被克制
210007,gem,gemattr,IceEnhance,冰伤害不会被克制,冰傷害不會被克制
210008,gem,gemattr,WindEnhance,风伤害不会被克制,風傷害不會被克制
210009,gem,gemattr,DoubleEnhance,光伤害不会被克制,光傷害不會被克制
210010,gem,gemattr,HalfEnhance,暗伤害不会被克制,暗傷害不會被克制
210011,gem,gemattr,HPEnhance,HP回复增加,HP回復增加
210012,gem,gemattr,FireDouble,火攻击额外克制火属性,火攻擊額外克制火屬性
210013,gem,gemattr,IceDouble,冰攻击额外克制冰属性,冰攻擊額外克製冰屬性
210014,gem,gemattr,WindDouble,风攻击额外克制风属性,風攻擊額外克制風屬性
210015,gem,gemattr,LightDouble,光攻击额外克制光属性,光攻擊額外克制光屬性
210016,gem,gemattr,DarkDouble,暗攻击额外克制暗属性,暗攻擊額外克制暗屬性
